EBELN,INVOICE_DATE,INVOICE_WEEK,INVOICE_MONTH,INVOICE_QUARTER,VENDOR_CODE,VENDOR_NAME,VENDOR_COUNTRY,MATERIAL_CODE,MATERIAL_TYPE,PUR_ORG,PUR_ORG_NAME,PUR_GRP,PUR_GRP_NAME,LOCAL_CURRENCY,INVOICE_COUNT,TOTAL_SPEND
4500000344,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000098,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1120.0
4500000301,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000100,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2000.0
4500002020,2024-09-20,2024w38,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000136,HALB,P001,,US3,US East-Electronic,USD,4,42560.0
4500000339,2024-08-26,2024w35,Aug-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000146,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,13680.0
4500000109,2024-07-05,2024w27,Jul-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,C0000010,FERT,P001,US East Pur org,US1,US East-Packaged G,USD,4,800.0
4500000209,2024-07-27,2024w30,Jul-2024,2024-3,,,,C0000060,FERT,P005,,J03,Japan-Electronic,JPY,2,17901.0
4500002026,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000093,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,2,720.0
4500000822,2024-09-06,2024w36,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000096,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,2,120.0
4500002017,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000096,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,720.0
4500002028,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000098,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2800.0
4500002038,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000098,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2800.0
4500002011,2024-09-21,2024w38,Sep-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000229,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,640.0
4500000818,2024-09-06,2024w36,Sep-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000232,HIBE,P001,US East Pur org,P01,US East Buyer,USD,6,2160.0
4500000366,2024-08-26,2024w35,Aug-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000231,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,300.0
4500001969,2024-09-21,2024w38,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000148,HALB,P001,US East Pur org,US3,US East-Electronic,USD,2,680.0
4500000365,2024-08-26,2024w35,Aug-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,C0000009,FERT,P001,US East Pur org,US1,US East-Packaged G,USD,4,1280.0
4500000814,2024-09-06,2024w36,Sep-2024,2024-3,CV000006,Vendor 2 for US 1 -Perishables,US,C0000244,FERT,P001,US East Pur org,US2,US East-Perishable,USD,6,14400.0
4500000290,2024-08-26,2024w35,Aug-2024,2024-3,CV000006,Vendor 2 for US 1 -Perishables,US,C0000033,FERT,P001,,US2,US East-Perishable,USD,4,1600.0
4500000315,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000092,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1680.0
4500001963,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000093,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,6,3960.0
4500000816,2024-09-06,2024w36,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000095,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,6,2160.0
4500000378,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000092,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1680.0
4500000356,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000093,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2080.0
4500000329,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000095,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,920.0
4500001965,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000097,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,2,680.0
4500000311,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000100,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2000.0
4500001986,2024-09-25,2024w39,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000101,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1400.0
4500000293,2024-08-26,2024w35,Aug-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000231,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,300.0
4500000201,2024-07-26,2024w30,Jul-2024,2024-3,,,,C0000060,FERT,P003,,C03,Canada -Electronic,CAD,2,17952.0
4500000102,2024-07-05,2024w27,Jul-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000099,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,400.0
4500002036,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000093,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2640.0
4500000347,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000092,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1680.0
4500002004,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000096,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,720.0
4500001985,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000098,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2800.0
4500000341,2024-08-26,2024w35,Aug-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000140,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,4200.0
4500000225,2024-08-16,2024w33,Aug-2024,2024-3,,,,C0000060,FERT,P002,,US6,US West-Electronic,USD,2,12000.0
4500000245,2024-08-23,2024w34,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000098,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1120.0
4500001946,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000101,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1400.0
4500002079,2024-09-26,2024w39,Sep-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000229,HIBE,P001,US East Pur org,P01,US East Buyer,USD,6,1080.0
4500000095,2024-06-30,2024w26,Jun-2024,2024-2,CV000005,Vendor 1 for US 1 -Packaged Goods,US,101KTEST,ROH,P001,,P01,US East Buyer,USD,4,0.0
4500000325,2024-08-26,2024w35,Aug-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000228,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,1120.0
4500001951,2024-09-21,2024w38,Sep-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000229,HIBE,P001,US East Pur org,P01,US East Buyer,USD,6,960.0
4500002041,2024-09-21,2024w38,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000144,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,3120.0
4500000229,2024-08-18,2024w33,Aug-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,C0000003,FERT,P001,US East Pur org,US1,US East-Packaged G,USD,4,1440.0
4500001974,2024-09-21,2024w38,Sep-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,C0000235,FERT,P001,US East Pur org,US1,US East-Packaged G,USD,4,4640.0
4500002076,2024-09-26,2024w39,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000097,ROH,P001,,US1,US East-Packaged G,USD,6,3720.0
4500001925,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000098,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2800.0
4500002008,2024-09-21,2024w38,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000144,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,3120.0
4500001988,2024-09-21,2024w38,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000144,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,3120.0
4500000821,2024-09-06,2024w36,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000060,FERT,P001,US East Pur org,US3,US East-Electronic,USD,2,63800.0
4500000313,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000095,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,920.0
4500002016,2024-09-25,2024w39,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000093,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2640.0
4500001944,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000096,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,720.0
4500001984,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000096,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,720.0
4500000281,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000098,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1120.0
4500000280,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000101,ROH,P001,,US1,US East-Packaged G,USD,4,960.0
4500001932,2024-09-21,2024w38,Sep-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000231,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,540.0
4500000357,2024-08-29,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000092,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1680.0
4500002003,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000093,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2640.0
4500001977,2024-09-21,2024w38,Sep-2024,2024-3,CV000006,Vendor 2 for US 1 -Perishables,US,C0000034,FERT,P001,US East Pur org,US2,US East-Perishable,USD,4,2880.0
4500002005,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000098,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2800.0
4500001926,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000101,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1400.0
4500000324,2024-08-26,2024w35,Aug-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000231,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,300.0
4500000300,2024-08-26,2024w35,Aug-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000135,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,16800.0
4500000312,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000098,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1120.0
4500001930,2024-09-24,2024w39,Sep-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000227,HIBE,P001,,P01,US East Buyer,USD,4,0.0
4500000336,2024-08-26,2024w35,Aug-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000228,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,1120.0
4500002051,2024-09-21,2024w38,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000139,HALB,P001,US East Pur org,US3,US East-Electronic,USD,6,18360.0
4500000016,2024-02-02,2024w5,Feb-2024,2024-1,US02,,,C0000077,FERT,P001,US East Pur org,P01,US East Buyer,USD,4,6000.0
4500001941,2024-09-20,2024w38,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000061,FERT,P001,,US3,US East-Electronic,USD,4,529200.0
4500000318,2024-08-26,2024w35,Aug-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,C0000236,FERT,P001,US East Pur org,US2,US East-Perishable,USD,4,4320.0
4500000195,2024-07-20,2024w29,Jul-2024,2024-3,,,,BATCHTEST,ROH,P001,,P01,US East Buyer,USD,4,144.0
4500000101,2024-07-05,2024w27,Jul-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000097,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,400.0
4500000242,2024-08-23,2024w34,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000092,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1680.0
4500000345,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000095,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,920.0
4500000244,2024-08-23,2024w34,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000095,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,920.0
4500000376,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000095,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,920.0
4500000218,2024-08-22,2024w34,Aug-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,101KTEST,ROH,P001,US East Pur org,P01,US East Buyer,USD,4,400.0
4500002075,2024-09-26,2024w39,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000091,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,2,1360.0
4500002046,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000093,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,6,4320.0
4500000375,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000098,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1120.0
4500002077,2024-09-26,2024w39,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000099,ROH,P001,,US1,US East-Packaged G,USD,4,0.0
4500000343,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000100,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2000.0
4500000824,2024-09-06,2024w36,Sep-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000227,HIBE,P001,US East Pur org,P05,Japan Buyer,USD,2,160.0
4500001990,2024-09-21,2024w38,Sep-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000227,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,580.0
4500001970,2024-09-21,2024w38,Sep-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000227,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,580.0
4500000305,2024-08-26,2024w35,Aug-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000227,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,260.0
4500000337,2024-08-26,2024w35,Aug-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000227,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,260.0
4500000326,2024-08-26,2024w35,Aug-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000227,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,260.0
4500001992,2024-09-21,2024w38,Sep-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000231,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,540.0
4500000105,2024-07-05,2024w27,Jul-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000141,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,200.0
4500001947,2024-09-20,2024w38,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000136,HALB,P001,,US3,US East-Electronic,USD,4,42560.0
4500002047,2024-09-21,2024w38,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000139,HALB,P001,US East Pur org,US3,US East-Electronic,USD,6,18360.0
4500001945,2024-09-24,2024w39,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000098,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2800.0
4500000294,2024-08-26,2024w35,Aug-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000228,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,1120.0
4500002057,2024-09-26,2024w39,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000140,HALB,P001,US East Pur org,US3,US East-Electronic,USD,6,10080.0
4500001928,2024-09-21,2024w38,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000144,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,3120.0
4500002032,2024-09-24,2024w39,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000146,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,27360.0
4500000307,2024-08-26,2024w35,Aug-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000146,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,13680.0
4500000296,2024-08-29,2024w35,Aug-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000147,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,6800.0
4500000108,2024-07-05,2024w27,Jul-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,C0000001,FERT,P001,US East Pur org,US1,US East-Packaged G,USD,4,3600.0
4500000819,2024-09-06,2024w36,Sep-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,C0000001,FERT,P001,US East Pur org,US1,US East-Packaged G,USD,2,5400.0
4500000355,2024-08-26,2024w35,Aug-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,C0000009,FERT,P001,US East Pur org,US1,US East-Packaged G,USD,4,1280.0
4500001976,2024-09-24,2024w39,Sep-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,C0000016,FERT,P001,US East Pur org,US1,US East-Packaged G,USD,4,2400.0
4500000291,2024-08-26,2024w35,Aug-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,C0000019,FERT,P001,US East Pur org,US1,US East-Packaged G,USD,4,2160.0
4500000333,2024-08-26,2024w35,Aug-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,C0000019,FERT,P001,US East Pur org,US1,US East-Packaged G,USD,4,2160.0
4500000238,2024-08-23,2024w34,Aug-2024,2024-3,CV000006,Vendor 2 for US 1 -Perishables,US,C0000044,FERT,P001,US East Pur org,US2,US East-Perishable,USD,4,6480.0
4500000371,2024-08-26,2024w35,Aug-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000142,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,14560.0
4500001939,2024-09-21,2024w38,Sep-2024,2024-3,CV000006,Vendor 2 for US 1 -Perishables,US,C0000241,FERT,P001,US East Pur org,US2,US East-Perishable,USD,4,12000.0
4500001980,2024-09-20,2024w38,Sep-2024,2024-3,CV000006,Vendor 2 for US 1 -Perishables,US,C0000247,FERT,P001,,US2,US East-Perishable,USD,4,8640.0
4500000022,2024-03-18,2024w12,Mar-2024,2024-1,CV000001,CYMBAL Third party vendor,US,C0000002,FERT,P001,US East Pur org,P01,US East Buyer,USD,4,1000.0
4500000029,2024-03-19,2024w12,Mar-2024,2024-1,CV000001,CYMBAL Third party vendor,US,C0000070,FERT,P001,US East Pur org,P01,US East Buyer,USD,4,6000.0
4500001481,2023-12-26,2023w52,Dec-2023,2023-4,CV000023,Vendor 1 for US 2 -Raw material PG,US,C0000092,ROH,P002,US West Pur org,US4,US West-Packaged G,USD,4,1840.0
4500000904,2023-08-06,2023w31,Aug-2023,2023-3,CV000023,Vendor 1 for US 2 -Raw material PG,US,C0000098,ROH,P002,US West Pur org,US4,US West-Packaged G,USD,4,2080.0
4500001053,2023-09-06,2023w36,Sep-2023,2023-3,CV000023,Vendor 1 for US 2 -Raw material PG,US,C0000098,ROH,P002,US West Pur org,US4,US West-Packaged G,USD,4,2080.0
4500000284,2024-08-26,2024w35,Aug-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000092,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,1680.0
4500002048,2024-09-21,2024w38,Sep-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000227,HIBE,P001,US East Pur org,P01,US East Buyer,USD,6,990.0
4500000304,2024-08-26,2024w35,Aug-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000228,HIBE,P001,US East Pur org,P01,US East Buyer,USD,4,1120.0
4500002012,2024-09-21,2024w38,Sep-2024,2024-3,CV000035,US 1 Vendor for Operating supplies,US,C0000232,HIBE,P001,US East Pur org,P01,US East Buyer,USD,2,300.0
4500000279,2024-08-26,2024w35,Aug-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000135,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,16800.0
4500002063,2024-09-27,2024w39,Sep-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000139,HALB,P001,US East Pur org,US3,US East-Electronic,USD,8,34000.0
4500002018,2024-09-21,2024w38,Sep-2024,2024-3,CV000020,Vendor 1 for US 1 -Raw material PG,US,C0000098,ROH,P001,US East Pur org,US1,US East-Packaged G,USD,4,2800.0
4500000106,2024-07-05,2024w27,Jul-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000144,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,400.0
4500000107,2024-07-05,2024w27,Jul-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000148,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,400.0
4500000370,2024-08-29,2024w35,Aug-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000146,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,13680.0
4500000338,2024-08-26,2024w35,Aug-2024,2024-3,CV000007,Vendor 3 for US 1 Electronics,US,C0000147,HALB,P001,US East Pur org,US3,US East-Electronic,USD,4,6800.0
4500001933,2024-09-21,2024w38,Sep-2024,2024-3,CV000005,Vendor 1 for US 1 -Packaged Goods,US,C0000006,FERT,P001,US East Pur org,US1,US East-Packaged G,USD,6,4500.0
